ID	URI	Index Page	Entry	Name (auto)	Name (curated)	Identity (auto)	Identity (curated)	Refs	Alternate Names	Alternate Names (auto)	Alternate Names (curated)	Cross-Ref 1	Cross-Ref 2	Cross-Ref 3	Match 1	Match 2	Match 3	Related Place	Related Place URI	Sort	Place Type (auto)	Place Type (curated)	Multiple?
		464	Constantine `see` Qusṭanṭīnah	Constantine	Constantine							Qusṭanṭīnah			Qusṭanṭīnah					184	#N/A	#N/A	
140	https://usaybia.net/place/140	464	Constantinople (al-Qusṭanṭīniyyah)	Constantinople	Constantinople			5.1.8.2; 5.2.15; 6.1.3; 8.26.5; 8.29.6; 9.23n; 10.36; 10.38.4; 10.38.6 no. 10; 13.36.2.2; 14.25.2n	al-Qusṭanṭīniyyah	al-Qusṭanṭīniyyah	al-Qusṭanṭīniyyah									185	#N/A	settlement	
141	https://usaybia.net/place/141	464	Cordova (Córdoba, Qurṭubah)	Cordova	Cordova			1.7n; 4.2; 13.4; 13.5.1; 13.7; 13.9; 13.12; 13.23; 13.27.2; 13.29.2n; 13.34.2; 13.35; 13.36.2.1; 13.36.2.3; 13.36.2.4; 13.36.3 no. 1; 13.38.1; 13.66.1; 13.66.3; 13.81.1; 13.82; 14.39.1n; 15.41	Qurṭubah	Córdoba, Qurṭubah	Córdoba, Qurṭubah									186	#N/A	settlement	
142	https://usaybia.net/place/142	464	Corinth, Greek city on the Isthmus	Corinth	Corinth	Greek city on the Isthmus	Greek city on the Isthmus	5.1.25												187	settlement	settlement	
		464	Cos `see` Kos	Cos	Cos							Kos			Kos					188	#N/A	#N/A	
143	https://usaybia.net/place/143	464	Cranon, ancient Greek city in Thessaly	Cranon	Cranon	ancient Greek city in Thessaly	ancient Greek city in Thessaly	4.1.5												189	settlement	settlement	
144	https://usaybia.net/place/144	464	Crete (Iqrīṭish, Iqrīṭush)	Crete	Crete			1.1; 1.8n; 1.11; 4.3.4.3 (spelled `f-r-m-s`)	Iqrīṭīsh	Iqrīṭish, Iqrīṭush	Iqrīṭish, Iqrīṭush									190	#N/A	settlement	
145	https://usaybia.net/place/145	464	Croton, ancient Greek city in southern Italy	Croton	Croton	ancient Greek city in southern Italy	ancient Greek city in southern Italy	4.3.4.2; 4.3.4.3												191	settlement	settlement	
		464	Ctesiphon `see` al-Madāʾin	Ctesiphon	Ctesiphon							al-Madāʾin			al-Madāʾin					192	#N/A	#N/A	
146	https://usaybia.net/place/146	464	Cyprus	Cyprus	Cyprus			4.1.10.1n; 4.1.10.2n; 5.1.21.1												193	#N/A	region	
147	https://usaybia.net/place/147	465	Dabarkī (or Divrigi), small town and district of Sivas Province in modern-day Turkey	Dabarkī	Dabarkī	small town and district of Sivas Province in modern-day Turkey	small town and district of Sivas Province in modern-day Turkey	15.40.6	Divrigi	Divrigi	Divrigi									194	settlement	settlement	
148	https://usaybia.net/place/148	465	al-Dakhwāriyyah College, medical school in Damascus	al-Dakhwāriyyah College	al-Dakhwāriyyah College	medical school in Damascus	medical school in Damascus	15.50.5n; 15.57.1	al-Madrasah al-Dakhwāriyyah											195	madrasa	madrasa	
149	https://usaybia.net/place/149	465	Damascus (Dimashq or al-Shām, which may also refer to Greater Syria; Jilliq, properly a site in the Ghūṭah, sometimes stands for Damascus, esp. in poetry)	Damascus	Damascus			1.4n; 2.1.3n; 4.8; 7.5.1; 7.5.3; 7.5.6; 7.7.1; 7.7.2; 7.8.3; 8.5.3; 8.26.14; 8.29.22n; 10.38.4; 10.64.13; 10.69.3.9(p, Jilliq); 10.69.3.10(p, Jilliq); 10.69.4 no. 4; 10.75.1; 10.75.2; 11.13.7.9(p, Jilliq); 13.4; 14.3; 14.22.2n; 14.31.5; 14.32.2; 14.36.2; 14.38.1n; 14.39.1n; 14.42.1; 14.42.3 nos. 3, 4; 14.44.2; 14.49.2n; 14.50; 14.51.2; 14.54.2; 14.54.3; 14.54.9; 14.55.3n; 14.56.1, 2; 14.57.2; 14.58.2; 14.58.3; 15.1.1; 15.1.1.1; 15.1.1.2; 15.1.5 no. 32; 15.3.1; 15.3.1.1; 15.3.1.2; 15.3.1.5; 15.3.1.6; 15.8; 15.9; 15.10; 15.11; 15.12; 15.13; 15.14; 15.15; 15.17 (Dimashq and Jilliq); 15.18.1; 15.18.1.1; 15.18.1.2; 15.19; 15.20; 15.21; 15.22; 15.23.1; 15.23.2.1; 15.23.2.2; 15.23.3; 15.23.4.1; 15.23.4.2; 15.24; 15.27; 15.29; 15.30; 15.31.1; 15.32; 15.33; 15.34; 15.35; 15.36.1; 15.37.1; 15.37.3; 15.37.4; 15.38; 15.39; 15.40.1; 15.42; 15.43; 15.44; 15.45; 15.46; 15.47.2.1(p); 15.48; 15.49.1; 15.49.2; 15.49.3; 15.49.6; 15.50.1; 15.50.2; 15.50.3; 15.50.5; 15.50.6(p); 15.50.7 no. 3; 15.51.1; 15.51.2; 15.51.3; 15.51.4; 15.51.5; 15.51.6; 15.51.7; 15.51.8; 15.52.1; 15.53; 15.54 (Dimashq and Jilliq); 15.56.1; 15.57.1; 15.58; 15.59; 15.60.1; ＡＩ.1; ＡＩＩ.15	Dimashq, Jilliq, al-Shām	Dimashq, al-Shām, which may also refer to Greater Syria	Dimashq, al-Shām, which may also refer to Greater Syria									196	#N/A	composite	
150	https://usaybia.net/place/150	465	Damascus Gate (Bāb al-Shām), in Baghdad	Damascus Gate	Damascus Gate	in Baghdad	in Baghdad	10.4.6		Bāb al-Shām	Bāb al-Shām									197	building	building	
		465	Damāwand `see` Dunbāwand	Damāwand	Damāwand							Dunbāwand			Dunbāwand					198	#N/A	#N/A	
151	https://usaybia.net/place/151	465	Damietta (Dimyāṭ), a port in Egypt	Damietta	Damietta	a port in Egypt	a port in Egypt	10.61; 14.49.2; 14.54.9; 14.54.10; 14.54.15; 15.45.2	Dimyāṭ	Dimyāṭ	Dimyāṭ									199	settlement	settlement	
		465	Dāniyah `see` Dénia	Dāniyah	Dāniyah							Dénia			Dénia					200	#N/A	#N/A	
152	https://usaybia.net/place/152	465	Daqūqāʾ, a town in the Jazīrah province of modern Iraq, on the main road between Baghdad and Mosul	Daqūqāʾ	Daqūqāʾ	a town in the Jazīrah province of modern Iraq, on the main road between Baghdad and Mosul	a town in the Jazīrah province of modern Iraq, on the main road between Baghdad and Mosul	8.5.2												201	settlement	settlement	
153	https://usaybia.net/place/153	465	Dār al-Dhahab (Golden House), a law college (`madrasah`) in Baghdad	Dār al-Dhahab	Dār al-Dhahab	a law college (`madrasah`) in Baghdad	a law college (`madrasah`) in Baghdad	15.40.2		Golden House	Golden House									202	building	madrasa	
154	https://usaybia.net/place/154	465	Dār al-Ḥijārah, area in Damascus	Dār al-Ḥijārah	Dār al-Ḥijārah	area in Damascus	area in Damascus	15.8.1												203	#N/A	quarter	
155	https://usaybia.net/place/155	465	Dār Ibn al-Zaʿfarānī (the House of Ibn al-Zaʿfarānī), in al-Ruhā	Dār Ibn al-Zaʿfarānī	Dār Ibn al-Zaʿfarānī	in al-Ruhā	in al-Ruhā	14.54.3	the House of Ibn al-Zaʿfarānī	the House of Ibn al-Zaʿfarānī	the House of Ibn al-Zaʿfarānī									204	building	building	
156	https://usaybia.net/place/156	465	Dār al-Rūm, the Christian quarter of Baghdad	Dār al-Rūm	Dār al-Rūm	the Christian quarter of Baghdad	the Christian quarter of Baghdad	8.5.2; 8.25.2												205	quarter	quarter	
157	https://usaybia.net/place/157	465	Dārā, fortress town of northern Mesopotamia	Dārā	Dārā	fortress town of northern Mesopotamia	fortress town of northern Mesopotamia	5.1.16.1												206	fortification	settlement	
158	https://usaybia.net/place/158	465	Darb al-Fālūdhaj (Sweetmeats Alley), in Baghdad	Darb al-Fālūdhaj	Darb al-Fālūdhaj	in Baghdad	in Baghdad	15.40.2		Sweetmeats Alley	Sweetmeats Alley									207	designated-space	designated-space	
159	https://usaybia.net/place/159	465	Daybul, seaport of Sind	Daybul	Daybul	seaport of Sind	seaport of Sind	8.21.4n												208	open-water	settlement	
160	https://usaybia.net/place/160	465	Daylam, highlands in Iran close to the Caspian Sea, also the name of its people	Daylam	Daylam	highlands in Iran close to the Caspian Sea, also the name of its people	highlands in Iran close to the Caspian Sea, also the name of its people	10.4.9 no. 8; 11.13.7.9(p) (spelled al-Daylamān)												209	open-water	region	
162	https://usaybia.net/place/162	465	Dayr al-ʿAdhārā, a convent near the town of al-ʿAlth	Dayr al-ʿAdhārā	Dayr al-ʿAdhārā	a convent near the town of al-ʿAlth	a convent near the town of al-ʿAlth	8.25.7n												210	monastery	monastery	
163	https://usaybia.net/place/163	465	Dayr al-ʿAlth, a convent near the town of al-ʿAlth	Dayr al-ʿAlth	Dayr al-ʿAlth	a convent near the town of al-ʿAlth	a convent near the town of al-ʿAlth	8.25.7n												211	monastery	monastery	
164	https://usaybia.net/place/164	465	Dayr Banī l-Ṣaqr, unidentified locality not far from Baghdad or Sāmarrā	Dayr Banī l-Ṣaqr	Dayr Banī l-Ṣaqr	unidentified locality not far from Baghdad or Sāmarrā	unidentified locality not far from Baghdad or Sāmarrā	8.20.5	al-Ītākhīyyah, al-Muḥammadiyyah											212	monastery	unknown	
		465	Dayr Durtā `see` Durtā	Dayr Durtā	Dayr Durtā							Durtā			Durtā					213	monastery	monastery	
165	https://usaybia.net/place/165	465	Dayr al-Jamājim, a Nestorian monastery in central Iraq	Dayr al-Jamājim	Dayr al-Jamājim	a Nestorian monastery in central Iraq	a Nestorian monastery in central Iraq	7.9.4n												214	monastery	monastery	
166	https://usaybia.net/place/166	465	Dayr al-Khandaq, monastery north of Cairo	Dayr al-Khandaq	Dayr al-Khandaq	monastery north of Cairo	monastery north of Cairo	14.50; 14.51.4												215	monastery	monastery	
167	https://usaybia.net/place/167	465	Dayr Qunnā, a Nestorian monastery on the Tigris S. of Baghdad	Dayr Qunnā	Dayr Qunnā	a Nestorian monastery on the Tigris S. of Baghdad	a Nestorian monastery on the Tigris S. of Baghdad	10.21												216	monastery	monastery	
168	https://usaybia.net/place/168	465	Dayr al-Quṣayr, the Monastery of Saint Arsenius near the town of Ṭurā, south of Cairo	Dayr al-Quṣayr	Dayr al-Quṣayr	the Monastery of Saint Arsenius near the town of Ṭurā, south of Cairo	the Monastery of Saint Arsenius near the town of Ṭurā, south of Cairo	14.15												217	monastery	monastery	
169	https://usaybia.net/place/169	465	Dayr al-Sīq, monastery south of Jerusalem	Dayr al-Sīq	Dayr al-Sīq	monastery south of Jerusalem	monastery south of Jerusalem	15.43.2												218	monastery	monastery	
170	https://usaybia.net/place/170	465	Delos, Greek island	Delos	Delos	Greek island	Greek island	4.3.4.1												219	island	island	
171	https://usaybia.net/place/171	465	Dénia (Dāniyah), town in al-Andalus	Dénia	Dénia	town in al-Andalus	town in al-Andalus	13.7; 13.58.1; 13.60.2	Dāniyah	Dāniyah	Dāniyah									220	settlement	settlement	
172	https://usaybia.net/place/172	465	Dezful, city in western Iran	Dezful	Dezful	city in western Iran	city in western Iran	8.1.1n												221	settlement	settlement	
173	https://usaybia.net/place/173	465	Dhāt al-Ajraʿ (the sandy tract), unidentified desert location	Dhāt al-Ajraʿ	Dhāt al-Ajraʿ	unidentified desert location	unidentified desert location	11.13.7.1(p)		the sandy tract	the sandy tract									222	natural-feature	natural-feature	
174	https://usaybia.net/place/174	465	Dhū Murār, unidentified place	Dhū Murār	Dhū Murār	unidentified place	unidentified place	7.5.4(p)												223	#N/A	unknown	
175	https://usaybia.net/place/175	465	Dihistān	Dihistān	Dihistān			11.13.2.11												224	#N/A	region	
		465	Dijlah `see` Tigris	Dijlah	Dijlah							Tigris			Tigris					225	#N/A	#N/A	
		465	Dimashq `see` Damascus	Dimashq	Dimashq							Damascus			Damascus					226	#N/A	#N/A	
		465	Dimyāṭ `see` Damietta	Dimyāṭ	Dimyāṭ							Damietta			Damietta					227	#N/A	#N/A	
176	https://usaybia.net/place/176	465	Diospolis, ancient city in Egypt	Diospolis	Diospolis	ancient city in Egypt	ancient city in Egypt	4.3.4.2												228	settlement	settlement	
		465	Divrigi `see` Dabarkī	Divrigi	Divrigi							Dabarkī			Dabarkī					229	#N/A	#N/A	
177	https://usaybia.net/place/177	465	Diyār Bakr (Diyarbakır), city in Eastern Anatolia	Diyār Bakr	Diyār Bakr	city in Eastern Anatolia	city in Eastern Anatolia	8.6n; 10.1n; 10.13.3n; 10.38.4; 11.13.7.9(p); 11.21; 14.50n; 14.54.3n; 15.17n; 15.18n; 15.22n; 15.46n		Diyarbakır	Diyarbakır									230	settlement	settlement	
178	https://usaybia.net/place/178	466	Diyār Muḍar, region in northern Mesopotamia	Diyār Muḍar	Diyār Muḍar	region in northern Mesopotamia	region in northern Mesopotamia	14.50n; 15.17n												231	region	region	
179	https://usaybia.net/place/179	466	Diyār Rabīʿah	Diyār Rabīʿah	Diyār Rabīʿah			10.38.4; 11.13.7.9(p)												232	#N/A	unknown	
180	https://usaybia.net/place/180	466	Dorylaeum, ancient Greek city in Phrygia	Dorylaeum	Dorylaeum	ancient Greek city in Phrygia	ancient Greek city in Phrygia	6.1.3												233	settlement	settlement	
181	https://usaybia.net/place/181	466	Dunaysir, town (now ruins) south-west of the city of Mārdīn in modern-day Turkey	Dunaysir	Dunaysir	town (now ruins) south-west of the city of Mārdīn in modern-day Turkey	town (now ruins) south-west of the city of Mārdīn in modern-day Turkey	15.58												234	settlement	settlement	
182	https://usaybia.net/place/182	466	Dunbāwand (or Damāwand), a mountain in northern Persia	Dunbāwand	Dunbāwand	a mountain in northern Persia	a mountain in northern Persia	8.8.4	Damāwand	Damāwand	Damāwand									235	#REF!	mountain	
183	https://usaybia.net/place/183	466	Durtā, place of a monastery in Iraq	Durtā	Durtā	place of a monastery in Iraq	place of a monastery in Iraq	10.51.6(p)	Dayr Durtā											236	monastery	unknown	
		466	Ecbatana `see` Hamadan	Ecbatana	Ecbatana							Hamadan			Hamadan					237	#N/A	#N/A	
		466	Edessa `see` al-Ruhā	Edessa	Edessa							al-Ruhā			al-Ruhā					238	#N/A	#N/A	
184	https://usaybia.net/place/184	466	Egypt (Miṣr; al-Diyār al-Miṣriyyah) `see also` Fustat	Egypt	Egypt			1.3; 1.5; 1.7n; 1.10n; 2.1.3; 2.1.4; 4.3; 4.3.4.2; 4.5.2; 5.1.16.1; 5.1.37 no. 115; 8.5.3; 6.1.2; 7.4n; 7.5.6; 8.18.3; 8.21.4; 8.26.9; 10.1.7; 10.38.2; 10.38.3; 10.38.4; 11.13.7.9; 11.20; 12.6; 13.2.1; 13.2.2.1; 13.3.4 no. 20; 13.34.1; 13.51.1; 13.58.2.1; 13.58.2.1; 13.58.4.5; 13.58.5 no. 1; 13.59.4 no. 17; 13.60.2; 13.86.1; 14.1; 14.2; 14.3; 14.4.1; 14.4.4; 14.10; 14.11; 14.13; 14.14.1; 14.14.3; 14.14.7; 14.17; 14.14.8 no. 4; 14.15; 14.18; 14.21n; 14.22.1–2; 14.22.3.1; 14.22.5.2 no. 91; 14.23.1–2; 14.25.1; 14.25.3; 14.25.9 nos. 15, 61, 100; 14.26.1–2; 14.27.1, 2, 4 nos. 2, 4; 14.28; 14.29.1, 2, 4 nos. 1, 4; 14.31.3n, 4n, 5.6n; 14.32.2; 14.32.3; 14.32.4; 14.33.3n; 14.35n; 14.36.1, 2; 14.37; 14.39.1, 2; 14.40.2; 14.42.1; 14.43.2n; 14.43.3 no. 1; 14.44.2; 14.45n; 14.46; 14.47.1, 2; 14.48.2; 14.49.1, 2; 14.50; 14.51.1, 2n; 14.53; 14.54.2, 3; 14.54.4n; 14.54.9; 14.54.12n; 14.54.13; 14.55.1n; 14.55.3n; 14.56.1n; 14.56.3; 14.57.1, 2; 14.58.3; 15.1.1.2; 15.24; 15.25; 15.31.1; 15.31.2; 15.31.3; 15.31.4; 15.32; 15.33; 15.38; 15.40.1; 15.40.2; 15.40.9 nos. 57, 58, 59; 15.41; 15.45; 15.49; 15.50.3; 15.51.1; 15.54; 15.58; ＡＩ.3; ＡＩＩ.11; ＡＩＩ.16	Miṣr	Miṣr	Miṣr							Fustat	https://usaybia.net/place/209	239	#N/A	composite	
185	https://usaybia.net/place/185	466	Egyptian provinces (al-Diyār al-Miṣriyyah)	Egyptian provinces	Egyptian provinces			14.2; 14.14.3; 14.22.2		al-Diyār al-Miṣriyyah	al-Diyār al-Miṣriyyah									240	province	province	y
186	https://usaybia.net/place/186	466	Elea (Velia), ancient Greek city on the Tyrrhenian coast of Italy	Elea	Elea	ancient Greek city on the Tyrrhenian coast of Italy	ancient Greek city on the Tyrrhenian coast of Italy	3.4n; 4.1.11.3n		Velia	Velia									241	settlement	settlement	
		466	Elephant Pond `see` Birkat al-Fīl	Elephant Pond	Elephant Pond							Birkat al-Fīl			Birkat al-Fīl					242	open-water	open-water	
187	https://usaybia.net/place/187	466	Elvira, Roman city in today’s province of Granada (Spain)	Elvira	Elvira	Roman city in today’s province of Granada (Spain)	Roman city in today’s province of Granada (Spain)	13.29.2n												243	settlement	settlement	
188	https://usaybia.net/place/188	466	Emesa, the modern Homs (Ḥimṣ) in Syria	Emesa	Emesa	the modern Homs (Ḥimṣ) in Syria	the modern Homs (Ḥimṣ) in Syria	4.1.10.2n; 4.1.11.2												244	#N/A	settlement	
189	https://usaybia.net/place/189	466	Ephesus	Ephesus	Ephesus			4.1.10.2n; 4.1.11.2n; 4.3.4.1; 6.1.3 (Robber Council of); 8.29.22n												245	#N/A	settlement	
190	https://usaybia.net/place/190	466	Epidaurus (Fīdārūs and Qindārūs), in the Peloponnese	Epidaurus	Epidaurus	in the Peloponnese	in the Peloponnese	1.6; 2.1.2n; 2.1.6.4n	Fīdārūs	Fīdārūs and Qindārūs	Fīdārūs, Qindārūs									246	#N/A	settlement	
191	https://usaybia.net/place/191	466	Epirus, ancient Greek state in the western Balkans	Epirus	Epirus	ancient Greek state in the western Balkans	ancient Greek state in the western Balkans	14.25.9 no. 34n												247	state	state	
192	https://usaybia.net/place/192	466	Erbil (or Arbil or Irbil), city in northern Iraq, east of Mosul	Erbil	Erbil	city in northern Iraq, east of Mosul	city in northern Iraq, east of Mosul	15.24	Arbil, Irbil	Arbil, Irbil	Arbil, Irbil									248	settlement	settlement	
193	https://usaybia.net/place/193	466	Eresos, ancient Greek city on Lesbos	Eresos	Eresos	ancient Greek city on Lesbos	ancient Greek city on Lesbos	15.1.2												249	settlement	settlement	
194	https://usaybia.net/place/194	466	Erzerum, Erzurum (Arzan al-Rūm), city in Anatolia, modern-day Turkey	Erzerum	Erzerum	Erzurum (Arzan al-Rūm), city in Anatolia, modern-day Turkey	Erzurum (Arzan al-Rūm), city in Anatolia, modern-day Turkey	15.40.5; 15.40.6	Arzan al-Rūm		Erzurum									250	settlement	settlement	
195	https://usaybia.net/place/195	466	Erzinjan (Arzanjān), city in Anatolia, modern-day Turkey	Erzinjan	Erzinjan	city in Anatolia, modern-day Turkey	city in Anatolia, modern-day Turkey	15.40.5; 15.40.6; 15.40.9 nos. 96, 160	Arzanjān	Arzanjān	Arzanjān									251	settlement	settlement	
196	https://usaybia.net/place/196	466	Etruria – land of Etruscans, Tyrrhenia	Etruria	Etruria	Tyrrhenia	Tyrrhenia	1.1n	Tyrrhenia											252	#N/A	region	
197	https://usaybia.net/place/197	466	Euphrates (al-Furāt), one of the two great rivers of Mesopotamia	Euphrates	Euphrates	one of the two great rivers of Mesopotamia	one of the two great rivers of Mesopotamia	8.26.12n; 11.13.7.9(p)	al-Furāt	al-Furāt	al-Furāt									253	river	river	
198	https://usaybia.net/place/198	466	Fārāb (or Farāb; modern Otrar or Utrar), town in Khorasan now southern Kazakhstan	Fārāb	Fārāb	town in Khorasan now southern Kazakhstan	town in Khorasan now southern Kazakhstan	15.1	Otrar, Utrar	Farāb	Farāb									254	settlement	settlement	
199	https://usaybia.net/place/199	466	Faramā (Greek Pelusium), strategic city on the eastern Delta	Faramā	Faramā	strategic city on the eastern Delta	strategic city on the eastern Delta	5.1.21.1; 14.4.1		Pelusium	Pelusium									255	settlement	settlement	
200	https://usaybia.net/place/200	466	Fardajān, also known as Barāhān, a fortress near Hamadān	Fardajān	Fardajān	also known as Barāhān, a fortress near Hamadān	also known as Barāhān, a fortress near Hamadān	11.13.3.7; 11.13.8 nos. 16, 17, 18	Barāhān											256	fortification	fortification	
		466	Farghāmus `see` Pergamum	Farghāmus	Farghāmus							Pergamum			Pergamum					257	#N/A	#N/A	
201	https://usaybia.net/place/201	466	Farghānā, region in eastern Transoxiana	Farghānā	Farghānā	region in eastern Transoxiana	region in eastern Transoxiana	8.20.5n												258	region	region	
		466	Fārs `see` Persia	Fārs	Fārs							Persia			Persia					259	#N/A	#N/A	
		466	Fās `see` Fez	Fās	Fās							Fez			Fez					260	#N/A	#N/A	
202	https://usaybia.net/place/202	466	Fasā, town in Fars Province of Persia	Fasā	Fasā	town in Fars Province of Persia	town in Fars Province of Persia	11.10												261	settlement	settlement	
203	https://usaybia.net/place/203	466	Fayd, a town in the Ḥijāz, at halfway point on the pilgrimage route between Iraq and Mecca	Fayd	Fayd	a town in the Ḥijāz, at halfway point on the pilgrimage route between Iraq and Mecca	a town in the Ḥijāz, at halfway point on the pilgrimage route between Iraq and Mecca	8.9												262	settlement	settlement	
204	https://usaybia.net/place/204	466	Fayyum (al-Fayyūm) – a large district in central Egypt that had a large Christian population	Fayyum	Fayyum			9.45		al-Fayyūm	al-Fayyūm									263	#N/A	region	
205	https://usaybia.net/place/205	466	Feltmakers’ Market (al-Labbādīn), in Damascus	Feltmakers’ Market	Feltmakers’ Market	in Damascus	in Damascus	15.8.1; 15.10; 15.11.1	al-Labbādīn	al-Labbādīn	al-Labbādīn									264	designated-space	designated-space	
206	https://usaybia.net/place/206	466	Fez (Fās), city in Morocco	Fez	Fez	city in Morocco	city in Morocco	13.59.3; 13.74; 14.39.2n; 15.41	Fās	Fās	Fās									265	settlement	settlement	
		467	Fīdārūs `see` Epidaurus	Fīdārūs	Fīdārūs							Epidaurus			Epidaurus					266	#N/A	#N/A	
		467	Filasṭīn `see` Palestine	Filasṭīn	Filasṭīn							Palestine			Palestine					267	#N/A	#N/A	
207	https://usaybia.net/place/207	467	Fīlmān, unidentified locality; possibly corruption of Fīlān (an eastern Caucasian region close to the western coasts of the Caspian)	Fīlmān	Fīlmān	unidentified locality; possibly corruption of Fīlān (an eastern Caucasian region close to the western coasts of the Caspian)	unidentified locality; possibly corruption of Fīlān (an eastern Caucasian region close to the western coasts of the Caspian)	15.20												268	region	unknown	
208	https://usaybia.net/place/208	467	Fīrūzkūh, a fortified city in the province of Ghūr in Central Afghanistan, capital of the senior branch of the Ghūrid sultans	Fīrūzkūh	Fīrūzkūh	a fortified city in the province of Ghūr in Central Afghanistan, capital of the senior branch of the Ghūrid sultans	a fortified city in the province of Ghūr in Central Afghanistan, capital of the senior branch of the Ghūrid sultans	11.19.3												269	settlement	settlement	
		467	al-Furāt `see` Euphrates	al-Furāt	al-Furāt							Euphrates			Euphrates					270	#N/A	#N/A	
209	https://usaybia.net/place/209	467	Fustat (al-Fusṭāṭ; Old Cairo, Miṣr al-ʿAtīqah; Miṣr al-Qadīmah), the first Muslim capital of Egypt	Fustat	Fustat	the first Muslim capital of Egypt	the first Muslim capital of Egypt	10.38.3; 10.38.4; 10.38.6 no. 6; 13.34.1; 14.2; 14.3; 14.4.1; 14.11; 14.12; 14.15n; 14.14.7; 14.25.3; 14.32.1; 14.32.3; 14.33.1n; 14.38.1; 14.39.2; 14, 40.1	Miṣr al-ʿAtīqah, Old Cairo	al-Fusṭāṭ	al-Fusṭāṭ, Miṣr al-Qadīmah									271	settlement	settlement	
		467	Gate of Victory `see` Bāb al-Fatḥ	Gate of Victory	Gate of Victory							Bāb al-Fatḥ			Bāb al-Fatḥ					272	building	building	
210	https://usaybia.net/place/210	467	Gaza (Ghazzah), town in Palestine	Gaza	Gaza	town in Palestine	town in Palestine	14.49.3n	Ghazzah	Ghazzah	Ghazzah									273	settlement	settlement	
211	https://usaybia.net/place/211	467	Gerasa, the modern Jerash, Jordan	Gerasa	Gerasa	the modern Jerash, Jordan	the modern Jerash, Jordan	4.1.11.2; 4.6.1												274	#N/A	settlement	
212	https://usaybia.net/place/212	467	Ghallah Lane (Darb al-Ghallah), in Baghdad	Ghallah Lane	Ghallah Lane	in Baghdad	in Baghdad	10.77.3		Darb al-Ghallah	Darb al-Ghallah									275	designated-space	designated-space	
		467	Gharnāṭah `see` Granada	Gharnāṭah	Gharnāṭah							Granada			Granada					276	#N/A	#N/A	
213	https://usaybia.net/place/213	467	Ghaznah, a town in eastern Afghanistan, now called Ghazni	Ghaznah	Ghaznah	a town in eastern Afghanistan, now called Ghazni	a town in eastern Afghanistan, now called Ghazni	11.15 no. 13												277	settlement	settlement	
		467	Ghazzah `see` Gaza	Ghazzah	Ghazzah							Gaza			Gaza					278	#N/A	#N/A	
214	https://usaybia.net/place/214	467	Ghūr, province of Central Afghanistan in medieval times	Ghūr	Ghūr	province of Central Afghanistan in medieval times	province of Central Afghanistan in medieval times	11.19.3n												279	province	province	
215	https://usaybia.net/place/215	467	al-Ghūṭah, the fertile land south and east of Damascus	al-Ghūṭah	al-Ghūṭah	the fertile land south and east of Damascus	the fertile land south and east of Damascus	15.54n												280	#N/A	region	
216	https://usaybia.net/place/216	467	al-Ghuwayr, name of several locations in Arabia	al-Ghuwayr	al-Ghuwayr	name of several locations in Arabia	name of several locations in Arabia	13.63.8.1(p)												281	#N/A	composite	y
217	https://usaybia.net/place/217	467	Giza (al-Jīzah), a town on the west bank of the Nile	Giza	Giza	a town on the west bank of the Nile	a town on the west bank of the Nile	14.25.3; 14.54.8	al-Jīzah	al-Jīzah	al-Jīzah									282	settlement	settlement	
218	https://usaybia.net/place/218	467	Gondēshāpūr (Jundaysābūr), ruins of ancient city to the southeast of Dizfūl in southwest Iran	Gondēshāpūr	Gondēshāpūr	ruins of ancient city to the southeast of Dizfūl in southwest Iran	ruins of ancient city to the southeast of Dizfūl in southwest Iran	7.1.1; 8.1.1; 8.1.2; 8.2; 8.16; 9.1n; 9.16n; 8.3.22; 8.4.2; 8.25.1; 8.25.2; 8.25.4; 8.25.8; 8.29.1; 8.29.2; 8.37; 9.16n; 9.26n; 9.39; 11.1; 12.2 no. 7n	Jundaysābūr	Jundaysābūr	Jundaysābūr									283	settlement	settlement	
219	https://usaybia.net/place/219	467	Granada (Gharnāṭah), city in al-Andalus	Granada	Granada	city in al-Andalus	city in al-Andalus	13.6.1.2; 13.59.3; 13.70; 13.74; 13.75	Gharnāṭah	Gharnāṭah	Gharnāṭah									284	settlement	settlement	
		467	the Great Hospital (al-Bīmāristān al-Kabīr) `see` Nūrī Hospital	the Great Hospital	the Great Hospital					al-Bīmāristān al-Kabīr	al-Bīmāristān al-Kabīr	Nūrī Hospital			Nūrī Hospital					285	hospital	hospital	
220	https://usaybia.net/place/220	467	Greece (bilād al-Yūnāniyyīn, Yūnān)	Greece	Greece			4.2; 4.3.1; 4.3.6.2 (`ʾ-l-ā-dh-ā`, i.e. Hellas)		bilād al-Yūnāniyyīn, Yūnān	bilād al-Yūnāniyyīn, Yūnān									286	region	region	
		467	Green Sea (al-Baḥr al-Akhḍār) `see` Mediterranean Sea	Green Sea	Green Sea					al-Baḥr al-Akhḍār	al-Baḥr al-Akhḍār	Mediterranean Sea			Mediterranean Sea					287	open-water	open-water	
221	https://usaybia.net/place/221	467	Gūn Gunbad, a gate and quarter in Isfahan	Gūn Gunbad	Gūn Gunbad	a gate and quarter in Isfahan	a gate and quarter in Isfahan	11.13.3.9; 11.13.4												288	building	composite	
		467	Gurgān `see` Jurjān	Gurgān	Gurgān							Jurjān			Jurjān					289	#N/A	#N/A	
