source	target	book	part	pg	ch-num	ch-title
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 653 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	عبد الجليل أبو الحسن	 DQ 	 1 	 653 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو سعد الأثيري الخوارزمي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 653 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو سعد الأثيري الخوارزمي	عبد الجليل أبو الحسن	 DQ 	 1 	 653 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو محمد العبدلكاني الزوزني	عبد الجليل أبو الحسن	 DQ 	 1 	 653 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو سعد الأثيري الخوارزمي	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	عبد الجليل أبو الحسن	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو سعد الأثيري الخوارزمي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو سعد الأثيري الخوارزمي	عبد الجليل أبو الحسن	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو محمد العبدلكاني الزوزني	عبد الجليل أبو الحسن	 DQ 	 1 	 654 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو الحسن الخوارزمي	 DQ 	 1 	 665 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو نصر الخالدي النسفي	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	الحسن بن أحمد السمرقندي أبو محمد	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	علي بن محمد الكسائي أبو الحسن	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو محمد العبدلكاني الزوزني	أبو نصر الخالدي النسفي	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو محمد العبدلكاني الزوزني	الحسن بن أحمد السمرقندي أبو محمد	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو محمد العبدلكاني الزوزني	علي بن محمد الكسائي أبو الحسن	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو نصر الخالدي النسفي	الحسن بن أحمد السمرقندي أبو محمد	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو نصر الخالدي النسفي	علي بن محمد الكسائي أبو الحسن	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
الحسن بن أحمد السمرقندي أبو محمد	علي بن محمد الكسائي أبو الحسن	 DQ 	 1 	 679 	5	من فضلاء جرجان واستراباد وقومس ودهستان وخوارزم وماوراء النهر
أبو جعفر البحاثي	أبو حنيفة	 DQ 	 2 	 829 	7	شعراء بلخ
أبو جعفر البحاثي	الاتراك	 DQ 	 2 	 829 	7	شعراء بلخ
أبو جعفر البحاثي	السمعاني	 DQ 	 2 	 829 	7	شعراء بلخ
أبو جعفر البحاثي	العبشمي	 DQ 	 2 	 829 	7	شعراء بلخ
أبو حنيفة	الاتراك	 DQ 	 2 	 829 	7	شعراء بلخ
أبو حنيفة	السمعاني	 DQ 	 2 	 829 	7	شعراء بلخ
أبو حنيفة	العبشمي	 DQ 	 2 	 829 	7	شعراء بلخ
الاتراك	السمعاني	 DQ 	 2 	 829 	7	شعراء بلخ
الاتراك	العبشمي	 DQ 	 2 	 829 	7	شعراء بلخ
السمعاني	العبشمي	 DQ 	 2 	 829 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 835 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد الحمداني	 DQ 	 2 	 835 	7	شعراء بلخ
أبو جعفر البحاثي	محمد بن عبد الله الرزجاهي أبو عمرو	 DQ 	 2 	 835 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	أبو محمد الحمداني	 DQ 	 2 	 835 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	محمد بن عبد الله الرزجاهي أبو عمرو	 DQ 	 2 	 835 	7	شعراء بلخ
أبو محمد الحمداني	محمد بن عبد الله الرزجاهي أبو عمرو	 DQ 	 2 	 835 	7	شعراء بلخ
أبو جعفر البحاثي	محمد بن الحسن المروزي	 DQ 	 2 	 848 	7	شعراء بلخ
أبو جعفر البحاثي	محمد بن الحسين الكافي أبو نصر	 DQ 	 2 	 848 	7	شعراء بلخ
محمد بن الحسن المروزي	محمد بن الحسين الكافي أبو نصر	 DQ 	 2 	 848 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 906 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد الحمداني	 DQ 	 2 	 906 	7	شعراء بلخ
أبو جعفر البحاثي	عفيف بن محمد البوشنجي أبو الحسن	 DQ 	 2 	 906 	7	شعراء بلخ
أبو جعفر البحاثي	يحيى بن يحيى بن منصور المطوعي البوشنجي	 DQ 	 2 	 906 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	أبو محمد الحمداني	 DQ 	 2 	 906 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	عفيف بن محمد البوشنجي أبو الحسن	 DQ 	 2 	 906 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	يحيى بن يحيى بن منصور المطوعي البوشنجي	 DQ 	 2 	 906 	7	شعراء بلخ
أبو محمد الحمداني	عفيف بن محمد البوشنجي أبو الحسن	 DQ 	 2 	 906 	7	شعراء بلخ
أبو محمد الحمداني	يحيى بن يحيى بن منصور المطوعي البوشنجي	 DQ 	 2 	 906 	7	شعراء بلخ
عفيف بن محمد البوشنجي أبو الحسن	يحيى بن يحيى بن منصور المطوعي البوشنجي	 DQ 	 2 	 906 	7	شعراء بلخ
أبو جعفر البحاثي	الباخرزي	 DQ 	 2 	 920 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 921 	7	شعراء بلخ
أبو جعفر البحاثي	أحمد بن الحسين الخطيب	 DQ 	 2 	 921 	7	شعراء بلخ
أبو جعفر البحاثي	المظفر بن علي أبو القاسم	 DQ 	 2 	 921 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	أحمد بن الحسين الخطيب	 DQ 	 2 	 921 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	المظفر بن علي أبو القاسم	 DQ 	 2 	 921 	7	شعراء بلخ
أحمد بن الحسين الخطيب	المظفر بن علي أبو القاسم	 DQ 	 2 	 921 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 927 	7	شعراء بلخ
أبو جعفر البحاثي	فاخر السجزي القاص	 DQ 	 2 	 927 	7	شعراء بلخ
أبو محمد العبدلكاني الزوزني	فاخر السجزي القاص	 DQ 	 2 	 927 	7	شعراء بلخ
أبو جعفر البحاثي	أبو الحسين بن أبي علي بن جعفر بن أبي نوح	 DQ 	 2 	 934 	7	شعراء بلخ
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 934 	7	شعراء بلخ
أبو الحسين بن أبي علي بن جعفر بن أبي نوح	أبو محمد العبدلكاني الزوزني	 DQ 	 2 	 934 	7	شعراء بلخ
أبو جعفر البحاثي	أحمد بن محمد بن حمى بن علويه أبو الشريف	 DQ 	 2 	 945 	7	شعراء بلخ
أبو جعفر البحاثي	عمر بن المظفر الطيب	 DQ 	 2 	 945 	7	شعراء بلخ
أحمد بن محمد بن حمى بن علويه أبو الشريف	عمر بن المظفر الطيب	 DQ 	 2 	 945 	7	شعراء بلخ
أبو جعفر البحاثي	عبد الله بن لكش العميد بغزنة أبو سهل	 DQ 	 2 	 946 	7	شعراء بلخ
أبو جعفر البحاثي	عيسى بن حماد أبو علي	 DQ 	 2 	 946 	7	شعراء بلخ
عبد الله بن لكش العميد بغزنة أبو سهل	عيسى بن حماد أبو علي	 DQ 	 2 	 946 	7	شعراء بلخ
أبو جعفر البحاثي	أبو الفضل الميكالي	 DQ 	 2 	 984 	8	طبقات نيسابور
أبو جعفر البحاثي	أبو سعد الكاتب بن دوست	 DQ 	 2 	 991 	8	طبقات نيسابور
أبو جعفر البحاثي	أحمد بن عثمان الخشنامي	 DQ 	 2 	 991 	8	طبقات نيسابور
أبو جعفر البحاثي	يعقوب بن أحمد النيسابوري	 DQ 	 2 	 991 	8	طبقات نيسابور
أبو سعد الكاتب بن دوست	أحمد بن عثمان الخشنامي	 DQ 	 2 	 991 	8	طبقات نيسابور
أبو سعد الكاتب بن دوست	يعقوب بن أحمد النيسابوري	 DQ 	 2 	 991 	8	طبقات نيسابور
أحمد بن عثمان الخشنامي	يعقوب بن أحمد النيسابوري	 DQ 	 2 	 991 	8	طبقات نيسابور
أبو بكر القهستاني	أبو جعفر البحاثي	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو بكر القهستاني	أحمد بن عبد الله المعري أبو العلاء	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو بكر القهستاني	باقل	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو بكر القهستاني	مادر	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو بكر القهستاني	محمد بن علي أبي طالب المكي	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو جعفر البحاثي	أحمد بن عبد الله المعري أبو العلاء	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو جعفر البحاثي	باقل	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو جعفر البحاثي	مادر	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو جعفر البحاثي	محمد بن علي أبي طالب المكي	 DQ 	 2 	 1054 	8	طبقات نيسابور
أحمد بن عبد الله المعري أبو العلاء	باقل	 DQ 	 2 	 1054 	8	طبقات نيسابور
أحمد بن عبد الله المعري أبو العلاء	مادر	 DQ 	 2 	 1054 	8	طبقات نيسابور
أحمد بن عبد الله المعري أبو العلاء	محمد بن علي أبي طالب المكي	 DQ 	 2 	 1054 	8	طبقات نيسابور
باقل	مادر	 DQ 	 2 	 1054 	8	طبقات نيسابور
باقل	محمد بن علي أبي طالب المكي	 DQ 	 2 	 1054 	8	طبقات نيسابور
مادر	محمد بن علي أبي طالب المكي	 DQ 	 2 	 1054 	8	طبقات نيسابور
أبو جعفر البحاثي	أبو نصر بن مشكان	 DQ 	 2 	 1064 	8	طبقات نيسابور
أبو جعفر البحاثي	عبد الصمد الطبري أبو القاسم	 DQ 	 2 	 1064 	8	طبقات نيسابور
أبو جعفر البحاثي	المتنبي	 DQ 	 2 	 1064 	8	طبقات نيسابور
أبو نصر بن مشكان	عبد الصمد الطبري أبو القاسم	 DQ 	 2 	 1064 	8	طبقات نيسابور
أبو نصر بن مشكان	المتنبي	 DQ 	 2 	 1064 	8	طبقات نيسابور
عبد الصمد الطبري أبو القاسم	المتنبي	 DQ 	 2 	 1064 	8	طبقات نيسابور
أبو جعفر البحاثي	أحمد بن عثمان الخشنامي	 DQ 	 2 	 1078 	8	طبقات نيسابور
أبو جعفر البحاثي	الثعالبي	 DQ 	 2 	 1078 	8	طبقات نيسابور
أحمد بن عثمان الخشنامي	الثعالبي	 DQ 	 2 	 1078 	8	طبقات نيسابور
أبو جعفر البحاثي	أبو القاسم العالمي الكرماني	 DQ 	 2 	 1098 	8	طبقات نيسابور
أبو جعفر البحاثي	علي بن العلاء البستي أبو الحسين	 DQ 	 2 	 1098 	8	طبقات نيسابور
أبو القاسم العالمي الكرماني	علي بن العلاء البستي أبو الحسين	 DQ 	 2 	 1098 	8	طبقات نيسابور
أبو جعفر البحاثي	أبو الفضل الميكالي	 DQ 	 2 	 1206 	10	اسفراين
أبو جعفر البحاثي	الباخرزي	 DQ 	 2 	 1206 	10	اسفراين
أبو جعفر البحاثي	عرقوب	 DQ 	 2 	 1206 	10	اسفراين
أبو جعفر البحاثي	عمر بن علي المطوعي أبو حفص	 DQ 	 2 	 1206 	10	اسفراين
أبو جعفر البحاثي	المرزباني	 DQ 	 2 	 1206 	10	اسفراين
أبو الفضل الميكالي	الباخرزي	 DQ 	 2 	 1206 	10	اسفراين
أبو الفضل الميكالي	عرقوب	 DQ 	 2 	 1206 	10	اسفراين
أبو الفضل الميكالي	عمر بن علي المطوعي أبو حفص	 DQ 	 2 	 1206 	10	اسفراين
أبو الفضل الميكالي	المرزباني	 DQ 	 2 	 1206 	10	اسفراين
الباخرزي	عرقوب	 DQ 	 2 	 1206 	10	اسفراين
الباخرزي	عمر بن علي المطوعي أبو حفص	 DQ 	 2 	 1206 	10	اسفراين
الباخرزي	المرزباني	 DQ 	 2 	 1206 	10	اسفراين
عرقوب	عمر بن علي المطوعي أبو حفص	 DQ 	 2 	 1206 	10	اسفراين
عرقوب	المرزباني	 DQ 	 2 	 1206 	10	اسفراين
عمر بن علي المطوعي أبو حفص	المرزباني	 DQ 	 2 	 1206 	10	اسفراين
أبو جعفر البحاثي	أبو نصر العمري	 DQ 	 2 	 1223 	10	اسفراين
أبو جعفر البحاثي	أبو سعيد الخداشي	 DQ 	 2 	 1232 	10	اسفراين
أبو جعفر البحاثي	أبو نصر الكاتب	 DQ 	 2 	 1232 	10	اسفراين
أبو جعفر البحاثي	هاروت	 DQ 	 2 	 1232 	10	اسفراين
أبو سعيد الخداشي	أبو نصر الكاتب	 DQ 	 2 	 1232 	10	اسفراين
أبو سعيد الخداشي	هاروت	 DQ 	 2 	 1232 	10	اسفراين
أبو نصر الكاتب	هاروت	 DQ 	 2 	 1232 	10	اسفراين
أبو جعفر البحاثي	أبو الحسن السعيدي	 DQ 	 2 	 1240 	10	اسفراين
أبو جعفر البحاثي	أبو العباس البوزجاني	 DQ 	 2 	 1323 	11	شعراء جام
أبو جعفر البحاثي	موسى (النبي) 	 DQ 	 2 	 1323 	11	شعراء جام
أبو العباس البوزجاني	موسى (النبي) 	 DQ 	 2 	 1323 	11	شعراء جام
أبو اسحاق العاصمي	أبو جعفر البحاثي	 DQ 	 2 	 1345 	12	شعراء زوزن
أبو اسحاق العاصمي	عبد الله بن يحيى بن عبد الخالق أبو القاسم	 DQ 	 2 	 1345 	12	شعراء زوزن
أبو جعفر البحاثي	عبد الله بن يحيى بن عبد الخالق أبو القاسم	 DQ 	 2 	 1345 	12	شعراء زوزن
أبو جعفر البحاثي	الباخرزي	 DQ 	 2 	 1366 	12	شعراء زوزن
أبو جعفر البحاثي	القفطي	 DQ 	 2 	 1366 	12	شعراء زوزن
أبو جعفر البحاثي	محمد بن الحسن بن سليمان البحاثي أبو جعفر	 DQ 	 2 	 1366 	12	شعراء زوزن
أبو جعفر البحاثي	محمد بن عيسى أبو علي	 DQ 	 2 	 1366 	12	شعراء زوزن
الباخرزي	القفطي	 DQ 	 2 	 1366 	12	شعراء زوزن
الباخرزي	محمد بن الحسن بن سليمان البحاثي أبو جعفر	 DQ 	 2 	 1366 	12	شعراء زوزن
الباخرزي	محمد بن عيسى أبو علي	 DQ 	 2 	 1366 	12	شعراء زوزن
القفطي	محمد بن الحسن بن سليمان البحاثي أبو جعفر	 DQ 	 2 	 1366 	12	شعراء زوزن
القفطي	محمد بن عيسى أبو علي	 DQ 	 2 	 1366 	12	شعراء زوزن
محمد بن الحسن بن سليمان البحاثي أبو جعفر	محمد بن عيسى أبو علي	 DQ 	 2 	 1366 	12	شعراء زوزن
أبو جعفر البحاثي	البحتري	 DQ 	 2 	 1374 	12	شعراء زوزن
أبو جعفر البحاثي	عبد الحميد بن يحيى أبو القاسم	 DQ 	 2 	 1374 	12	شعراء زوزن
البحتري	عبد الحميد بن يحيى أبو القاسم	 DQ 	 2 	 1374 	12	شعراء زوزن
أبو جعفر البحاثي	أحمد بن عثمان الخشنامي	 DQ 	 2 	 1381 	12	شعراء زوزن
أبو جعفر البحاثي	طاهر البيهقي	 DQ 	 2 	 1381 	12	شعراء زوزن
أحمد بن عثمان الخشنامي	طاهر البيهقي	 DQ 	 2 	 1381 	12	شعراء زوزن
أبو جعفر البحاثي	أبو الحسن البخاري	 DQ 	 2 	 1402 	12	شعراء زوزن
أبو جعفر البحاثي	أحمد بن الحسن الخطيب	 DQ 	 2 	 1402 	12	شعراء زوزن
أبو الحسن البخاري	أحمد بن الحسن الخطيب	 DQ 	 2 	 1402 	12	شعراء زوزن
أبو جعفر البحاثي	أبو الحسن العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو جعفر البحاثي	أبو العباس العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو جعفر البحاثي	بنو عامر	 DQ 	 3 	 1487 	13	[backmatter]
أبو جعفر البحاثي	زيد بن أسد العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو الحسن العامري	أبو العباس العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو الحسن العامري	بنو عامر	 DQ 	 3 	 1487 	13	[backmatter]
أبو الحسن العامري	زيد بن أسد العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو العباس العامري	بنو عامر	 DQ 	 3 	 1487 	13	[backmatter]
أبو العباس العامري	زيد بن أسد العامري	 DQ 	 3 	 1487 	13	[backmatter]
بنو عامر	زيد بن أسد العامري	 DQ 	 3 	 1487 	13	[backmatter]
أبو جعفر البحاثي	أبو الحسين بن زيد	 DQ 	 3 	 1489 	13	[backmatter]
أبو جعفر البحاثي	أبو العباس العامري	 DQ 	 3 	 1489 	13	[backmatter]
أبو الحسين بن زيد	أبو العباس العامري	 DQ 	 3 	 1489 	13	[backmatter]
أبو عبيد الهروي	 أبو الفضل النوشجاني	 DQ 	 3 	 1502 	13	[backmatter]
أبو عبيد الهروي	السيوطي	 DQ 	 3 	 1502 	13	[backmatter]
أبو عبيد الهروي	محمد بن أحمد بن الاشرس أبو الفتح	 DQ 	 3 	 1502 	13	[backmatter]
 أبو الفضل النوشجاني	السيوطي	 DQ 	 3 	 1502 	13	[backmatter]
 أبو الفضل النوشجاني	محمد بن أحمد بن الاشرس أبو الفتح	 DQ 	 3 	 1502 	13	[backmatter]
السيوطي	محمد بن أحمد بن الاشرس أبو الفتح	 DQ 	 3 	 1502 	13	[backmatter]
ابن السماك	 أبو جعفر الفيروزآبادي	 DQ 	 1 	 500 	4	شعراء الري والجبال واصفهان وفارس وكرمان
ابن السماك	عبيد الله بن عمرو	 DQ 	 1 	 500 	4	شعراء الري والجبال واصفهان وفارس وكرمان
 أبو جعفر الفيروزآبادي	عبيد الله بن عمرو	 DQ 	 1 	 500 	4	شعراء الري والجبال واصفهان وفارس وكرمان
أبو جعفر بن البياضي	أحمد بن عبد الله المعري أبو العلاء	 DQ 	 1 	 378 	3	فضلاء العراق
أبو جعفر بن البياضي	صرّ بعر	 DQ 	 1 	 378 	3	فضلاء العراق
أبو جعفر بن البياضي	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 378 	3	فضلاء العراق
أحمد بن عبد الله المعري أبو العلاء	صرّ بعر	 DQ 	 1 	 378 	3	فضلاء العراق
أحمد بن عبد الله المعري أبو العلاء	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 378 	3	فضلاء العراق
صرّ بعر	يحيى بن علي الخطيب التبريزي	 DQ 	 1 	 378 	3	فضلاء العراق
أبو جعفر بن خالد	 كثير بن أحمد	 DQ 	 2 	 1387 	12	شعراء زوزن
أبو الجوائز الهاشمي	 أبو محمد الحمداني	 DQ 	 1 	 348 	3	فضلاء العراق
أبو بكر القهستاني	أبو جوثة	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو بكر القهستاني	أبو عامر الجرجاني	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو بكر القهستاني	الحجاف	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو بكر القهستاني	قرواش بن المقلد أبو المنيع	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو بكر القهستاني	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو جوثة	أبو عامر الجرجاني	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو جوثة	الحجاف	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو جوثة	قرواش بن المقلد أبو المنيع	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو جوثة	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو عامر الجرجاني	الحجاف	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو عامر الجرجاني	قرواش بن المقلد أبو المنيع	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو عامر الجرجاني	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
الحجاف	قرواش بن المقلد أبو المنيع	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
الحجاف	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
قرواش بن المقلد أبو المنيع	يحيى بن نصر السعدي البغدادي	 DQ 	 1 	 69 	1	طبقات شعراء البدو والحجاز
أبو حاتم السجزي	أبو حاتم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	أبو غانم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	أبو غانم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو فارس حسين الأديب	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو فارس حسين الأديب	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
 أسد العامري	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	أبو حاتم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	أبو غانم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجزي	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	أبو غانم السجستاني	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو حاتم السجستاني	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	أبو فارس حسين الأديب	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو غانم السجستاني	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو فارس حسين الأديب	 أسد العامري	 DQ 	 3 	 1486 	13	[backmatter]
أبو فارس حسين الأديب	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
 أسد العامري	نصر بن أبي كامل	 DQ 	 3 	 1486 	13	[backmatter]
أبو بكر بن مقسم	أبو جعفر البحاثي	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	أبو حامد الاسفراييني	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	أبو سعد الكاتب بن دوست	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	أحمد الجندي	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	أحمد بن محمد بن نجدة	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	الشافعية	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	علي بن محمد أبو الحسن	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	غريب الخادم	 DQ 	 1 	 323 	3	فضلاء العراق
أبو بكر بن مقسم	المأمون	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	أبو حامد الاسفراييني	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	أبو سعد الكاتب بن دوست	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	أحمد الجندي	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	أحمد بن محمد بن نجدة	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	الشافعية	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	علي بن محمد أبو الحسن	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	غريب الخادم	 DQ 	 1 	 323 	3	فضلاء العراق
أبو جعفر البحاثي	المأمون	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	أبو سعد الكاتب بن دوست	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	أبو محمد العبدلكاني الزوزني	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	أحمد الجندي	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	أحمد بن محمد بن نجدة	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	الشافعية	 DQ 	 1 	 323 	3	فضلاء العراق
أبو حامد الاسفراييني	علي بن محمد أبو الحسن	 DQ 	 1 	 323 	3	فضلاء العراق
